athlete_code,stage_code,result_rank,result,result_type
1945125,SWMW50MFR-------------FNL-000100--,3.0,24.20,TIME
1935998,SWMW50MFR-------------FNL-000100--,4.0,24.21,TIME
1879467,SWMW50MFR-------------FNL-000100--,5.0,24.33,TIME
1981469,SWMW50MFR-------------FNL-000100--,6.0,24.35,TIME
1945206,SWMW50MFR-------------FNL-000100--,7.0,24.37,TIME
1946227,SWMW50MFR-------------FNL-000100--,8.0,24.39,TIME
1946201,SWMW800MFR------------HEAT000100--,1.0,8:20.21,TIME
1907171,SWMW800MFR------------HEAT000100--,2.0,8:20.63,TIME
1940014,SWMW800MFR------------HEAT000100--,3.0,8:22.22,TIME
1909209,SWMW800MFR------------HEAT000100--,4.0,8:22.99,TIME
1945169,SWMW800MFR------------HEAT000100--,5.0,8:27.92,TIME
1954371,SWMW800MFR------------HEAT000100--,6.0,8:32.20,TIME
1569571,SWMW800MFR------------HEAT000100--,7.0,8:32.37,TIME
4675589,SWMW800MFR------------HEAT000100--,8.0,9:21.38,TIME
1935938,SWMW800MFR------------HEAT000200--,1.0,8:16.62,TIME
1935943,SWMW800MFR------------HEAT000200--,2.0,8:18.48,TIME
1946150,SWMW800MFR------------HEAT000200--,3.0,8:19.87,TIME
1925632,SWMW800MFR------------HEAT000200--,4.0,8:20.89,TIME
1940003,SWMW800MFR------------HEAT000200--,5.0,8:33.25,TIME
1904727,SWMW800MFR------------HEAT000200--,6.0,8:36.13,TIME
1537209,SWMW800MFR------------HEAT000200--,7.0,8:37.43,TIME
1555512,SWMW800MFR------------HEAT000200--,8.0,8:46.46,TIME
1935938,SWMW800MFR------------FNL-000100--,1.0,8:11.04,TIME
1946150,SWMW800MFR------------FNL-000100--,2.0,8:12.29,TIME
1935943,SWMW800MFR------------FNL-000100--,3.0,8:13.00,TIME
1925632,SWMW800MFR------------FNL-000100--,4.0,8:14.55,TIME
1907171,SWMW800MFR------------FNL-000100--,5.0,8:17.82,TIME
1946201,SWMW800MFR------------FNL-000100--,6.0,8:21.09,TIME
1909209,SWMW800MFR------------FNL-000100--,7.0,8:22.80,TIME
1940014,SWMW800MFR------------FNL-000100--,8.0,8:23.27,TIME
1930828,TTEMSINGLES-----------R128005800--,,4,POINTS
1572189,TTEMSINGLES-----------R128005800--,,0,POINTS
1538190,TTEMSINGLES-----------R128003400--,,4,POINTS
1566883,TTEMSINGLES-----------R128003400--,,0,POINTS
1962788,TTEMSINGLES-----------R128006200--,,4,POINTS
4660198,TTEMSINGLES-----------R128006200--,,0,POINTS
1903297,TTEMSINGLES-----------R64-000200--,,0,POINTS
1563390,TTEMSINGLES-----------R64-000200--,,4,POINTS
1941505,TTEMSINGLES-----------R64-002600--,,1,POINTS
1536215,TTEMSINGLES-----------R64-002600--,,4,POINTS
1963587,TTEMSINGLES-----------R64-001400--,,0,POINTS
1565008,TTEMSINGLES-----------R64-001400--,,4,POINTS
1570614,TTEMSINGLES-----------R64-001000--,,0,POINTS
1879345,TTEMSINGLES-----------R64-001000--,,4,POINTS
1933504,TTEMSINGLES-----------R64-000700--,,4,POINTS
1935575,TTEMSINGLES-----------R64-000700--,,0,POINTS
1544301,TTEMSINGLES-----------R64-002000--,,0,POINTS
1542541,TTEMSINGLES-----------R64-002000--,,4,POINTS
1541473,TTEMSINGLES-----------R64-000400--,,4,POINTS
1941502,TTEMSINGLES-----------R64-000400--,,3,POINTS
1976250,TTEMSINGLES-----------R64-000600--,,4,POINTS
1946674,TTEMSINGLES-----------R64-000600--,,3,POINTS
1902703,TTEMSINGLES-----------R64-000500--,,4,POINTS
1928808,TTEMSINGLES-----------R64-000500--,,1,POINTS
1936413,TTEMSINGLES-----------R64-002900--,,2,POINTS
1930828,TTEMSINGLES-----------R64-002900--,,4,POINTS
1902301,TTEMSINGLES-----------R64-000100--,,4,POINTS
1568866,TTEMSINGLES-----------R64-000100--,,1,POINTS
1803711,TTEMSINGLES-----------R64-000300--,,4,POINTS
1536214,TTEMSINGLES-----------R64-000300--,,1,POINTS
1547690,TTEMSINGLES-----------R64-001800--,,3,POINTS
1563381,TTEMSINGLES-----------R64-001800--,,4,POINTS
1538151,TTEMSINGLES-----------R64-001100--,,2,POINTS
1980867,TTEMSINGLES-----------R64-001100--,,4,POINTS
1961122,TTEMSINGLES-----------R64-001200--,,0,POINTS
1931109,TTEMSINGLES-----------R64-001200--,,4,POINTS
1902709,TTEMSINGLES-----------R64-002700--,,0,POINTS
1954543,TTEMSINGLES-----------R64-002700--,,4,POINTS
1936418,TTEMSINGLES-----------R64-000900--,,4,POINTS
1550006,TTEMSINGLES-----------R64-000900--,,1,POINTS
1980863,TTEMSINGLES-----------R64-002100--,,4,POINTS
1537137,TTEMSINGLES-----------R64-002100--,,2,POINTS
1550005,TTEMSINGLES-----------R64-002400--,,1,POINTS
1800795,TTEMSINGLES-----------R64-002400--,,4,POINTS
1889177,TTEMSINGLES-----------R64-001700--,,4,POINTS
1538190,TTEMSINGLES-----------R64-001700--,,0,POINTS
1541369,TTEMSINGLES-----------R64-001600--,,0,POINTS
1958377,TTEMSINGLES-----------R64-001600--,,4,POINTS
1961352,TTEMSINGLES-----------R64-003000--,,4,POINTS
1961108,TTEMSINGLES-----------R64-003000--,,0,POINTS
1889176,TTEMSINGLES-----------R64-001300--,,4,POINTS
1541290,TTEMSINGLES-----------R64-001300--,,0,POINTS
1937387,TTEMSINGLES-----------R64-000800--,,1,POINTS
1542547,TTEMSINGLES-----------R64-000800--,,4,POINTS
1931099,TTEMSINGLES-----------R64-002500--,,4,POINTS
1941633,TTEMSINGLES-----------R64-002500--,,0,POINTS
1563520,TTEMSINGLES-----------R64-001500--,,4,POINTS
1566426,TTEMSINGLES-----------R64-001500--,,2,POINTS
1541474,TTEMSINGLES-----------R64-002300--,,1,POINTS
1565009,TTEMSINGLES-----------R64-002300--,,4,POINTS
1962225,TTEMSINGLES-----------R64-003100--,,4,POINTS
1962788,TTEMSINGLES-----------R64-003100--,,3,POINTS
1556084,TTEMSINGLES-----------R64-003200--,,0,POINTS
1902295,TTEMSINGLES-----------R64-003200--,,4,POINTS
1946683,TTEMSINGLES-----------R64-001900--,,0,POINTS
1958386,TTEMSINGLES-----------R64-001900--,,4,POINTS
1897860,TTEMSINGLES-----------R64-002200--,,0,POINTS
1544203,TTEMSINGLES-----------R64-002200--,,4,POINTS
1879343,TTEMSINGLES-----------R64-002800--,,4,POINTS
1937383,TTEMSINGLES-----------R64-002800--,,0,POINTS
1889177,TTEMSINGLES-----------R32-000900--,,4,POINTS
1563381,TTEMSINGLES-----------R32-000900--,,2,POINTS
1933504,TTEMSINGLES-----------R32-000400--,,4,POINTS
1542547,TTEMSINGLES-----------R32-000400--,,3,POINTS
1902703,TTEMSINGLES-----------R32-000300--,,4,POINTS
1976250,TTEMSINGLES-----------R32-000300--,,0,POINTS
1803711,TTEMSINGLES-----------R32-000200--,,4,POINTS
1541473,TTEMSINGLES-----------R32-000200--,,1,POINTS
1889176,TTEMSINGLES-----------R32-000700--,,4,POINTS
1565008,TTEMSINGLES-----------R32-000700--,,0,POINTS
1936418,TTEMSINGLES-----------R32-000500--,,4,POINTS
1879345,TTEMSINGLES-----------R32-000500--,,1,POINTS
1980867,TTEMSINGLES-----------R32-000600--,,2,POINTS
1931109,TTEMSINGLES-----------R32-000600--,,4,POINTS
1958386,TTEMSINGLES-----------R32-001000--,,1,POINTS
1542541,TTEMSINGLES-----------R32-001000--,,4,POINTS
1565009,TTEMSINGLES-----------R32-001200--,,0,POINTS
1800795,TTEMSINGLES-----------R32-001200--,,4,POINTS
1563520,TTEMSINGLES-----------R32-000800--,,2,POINTS
1958377,TTEMSINGLES-----------R32-000800--,,4,POINTS
1980863,TTEMSINGLES-----------R32-001100--,,4,POINTS
1544203,TTEMSINGLES-----------R32-001100--,,2,POINTS
1902301,TTEMSINGLES-----------R32-000100--,,2,POINTS
1563390,TTEMSINGLES-----------R32-000100--,,4,POINTS
1931099,TTEMSINGLES-----------R32-001300--,,4,POINTS
1536215,TTEMSINGLES-----------R32-001300--,,2,POINTS
1954543,TTEMSINGLES-----------R32-001400--,,3,POINTS
1879343,TTEMSINGLES-----------R32-001400--,,4,POINTS
1962225,TTEMSINGLES-----------R32-001600--,,1,POINTS
1902295,TTEMSINGLES-----------R32-001600--,,4,POINTS
1930828,TTEMSINGLES-----------R32-001500--,,4,POINTS
1961352,TTEMSINGLES-----------R32-001500--,,2,POINTS
1902703,TTEMSINGLES-----------8FNL000200--,,4,POINTS
1933504,TTEMSINGLES-----------8FNL000200--,,2,POINTS
1889177,TTEMSINGLES-----------8FNL000500--,,4,POINTS
1542541,TTEMSINGLES-----------8FNL000500--,,3,POINTS
1889176,TTEMSINGLES-----------8FNL000400--,,1,POINTS
1958377,TTEMSINGLES-----------8FNL000400--,,4,POINTS
1936418,TTEMSINGLES-----------8FNL000300--,,4,POINTS
1931109,TTEMSINGLES-----------8FNL000300--,,0,POINTS
1980863,TTEMSINGLES-----------8FNL000600--,,0,POINTS
1800795,TTEMSINGLES-----------8FNL000600--,,4,POINTS
